Mineral_name,Formula,Reference
Theophrastite,Ni (O₂ H₂),"Ramesh T. N., Kamath P. V., Shivakumara C., Classification of stacking faults and their stepwise elemination during the disorder -> order transformation of nickel hydroxide, Acta Crystallographica, Section B, 62, 530–536 (2006)."
Parisite-(Ce),Ce₂ Ca C O₃ F₂,"Donnay G., Donnay J. D. H., The crystallography of bastnaesite, parasite, roentgenite, and synchisite, American Mineralogist, 38, 932–963 (1953)."
Teschemacherite,N H₅ C O₃,"Pertlik F., Verfeinerung der kristallstruktur des teschemacherits, (NH4)CO2(OH), Tschermaks Mineralogische und Petrographische Mitteilungen, 29, 67–74 (1981)."
Plumbojarosite,Pb S₂ Fe₃ O₁₄ H₆,"Szymanski J. T., The crystal structure of plumbojarosite Pb[Fe3(SO4)2(OH)6]2, The Canadian Mineralogist, 23, 659–668 (1985)."
Mercallite,K S (O₄ H),"Loopstra L. H., MacGillavry V. H., The crystal structure of KHSO4 (mercallite), Acta Crystallographica, 11, 349–354 (1958)."
Magnocolumbite,Mg Nb₂ O₆,"Pagola S., Carbonio R. E., Alonso J. A., Fernandez-Diaz M. T., Crystal structure refinement of Mg Nb2 O6 columbite from neutron powder diffraction data and study of the ternary system MgO-Nb2O5-NbO, with evidence of formation of new reduced pseudobrookite Mg5-xNb4+xO15-d (1.14<x<1.60) phases Note: reported and calculated Biso(O2)'s do not match, Journal of Solid State Chemistry, 134, 76–84 (1997)."
Gahnite,Zn Al₂ O₄,"Popovic J., Tkalcec E., Grzeta B., Kurajica S., Rakvin B., Inverse spinel structure of Co-doped gahnite Note: Sample S0, inversion parameter = 0, ZnAl2O4, American Mineralogist, 94, 771–776 (2009)."
Lizardite,Si₂ Mg₃ O₉ H₄,"Mellini M., The crystal structure of lizardite 1T: hydrogen bonds and polytypism, American Mineralogist, 67, 587–598 (1982)."
Cadmoindite,Cd In₂ S₄,"Hahn H., Klingler W., Untersuchungen uber ternare chalkogenide. I. Uber die kristallstruktur einiger ternaerer sulfide, die sich vom In2S3 ableiten, Zeitschrift fur Anorganische und Allgemeine Chemie, 263, 177–190 (1950)."
Paulmooreite,Pb₂ As₂ O₅,"Araki T., Moore P. B., Brunton G. D., The crystal structure of paulmooreite, Pb2[As2O5]: dimeric arsenite groups, American Mineralogist, 65, 340–345 (1980)."
Oxystannomicrolite,Ta₂ Sn₂ O₇,"Gasperin M., Contribution a l'etude de quelques oxydes doubles que forme le tantale avec l'etain, l'uranium et le calcium. _cod_database_code 1001840, Bulletin de la Societe Francaise de Mineralogie et de Cristallographie, 83, 1–21 (1960)."
Lutetium,Lu,"Spedding F. H., Daane A. H., Herrmann K. W., The crystal structures and lattice parameters of high-purity scandium, yttrium and the rare earth metals Note: sample 99.9% pure, Acta Crystallographica, 9, 559–563 (1956)."
Nasonite,Pb₆ Ca₄ Cl₂ Si₆ O₂₁,"Giuseppetti G., Rossi G., Tadini C., The crystal structure of nasonite, American Mineralogist, 56, 1174–1179 (1971)."
Solongoite,Ca₂ B₃ O₈ H₄ Cl,"Yamnova N. A., Simonov M. A., Belov N. V., Refined crystal structure of solongoite Ca2[B3O4(OH)4]Cl, Soviet Physics Crystallography, 22, 356–357 (1977)."
Paralaurionite,Pb Cl O H,"Merlino S., Pasero M., Perchialli N., Crystal structure of paralaurionite and its OD relationships with laurionite, Mineralogical Magazine, 57, 323–328 (1993)."
Spiroffite,Te₃ Mn₂ O₈,"Cooper M. A., Hawthorne F. C., The crystal structure of spiroffite, The Canadian Mineralogist, 34, 821–826 (1996)."
Gallium,Ga,"Bosio L., Defrain A., Curien H., Rimsky A., Structure cristalline du gallium-beta Sample: at T = 248.15 K Note: structure known as beta phase, Acta Crystallographica, Section B, 25, 995–995 (1969)."
Yaroshevskite,Cu₉ V₄ O₁₈ Cl₂,"Pekov I. V., Zubkova N. V., Zelenski M. E., Yapaskurt V. O., Polekhovsky Y. S., Fadeeva O. A., Pushcharovsky D. Y., Yaroshevskite, Cu9O2(VO4)4Cl2, a new mineral from the Tolbachik volcano, Kamchatka, Russia, Mineralogical Magazine, 77, 107–116 (2013)."
Flinkite,Mn₃ As (O₈ H₄),"Moore P. B., Crystal chemistry of the basic manganese arsenate minerals 1. The crystal structures of flinkite, Mn2Mn(OH)4(AsO4) and retzian, Mn2Y(OH)4(AsO4), American Mineralogist, 52, 1603–1613 (1967)."
Testibiopalladite,Pd Sb Te,"Foecker A. J., Jeitschko W., The atomic order of the pnictogen and chalcogen atoms in equiatomic ternary compounds TPnCh (T = Ni, Pd; Pn = P, As, Sb; Ch = S, Se, Te), Journal of Solid State Chemistry, 162, 69–78 (2001)."
Iimoriite-(Y),Y₂ Si C O₇,"Hughes J. M., Foord E. E., Jai-Nhuknan J., Bell J. M., The atomic arrangement of iimoriite-(Y), Y2(SiO4)(CO3), The Canadian Mineralogist, 34, 817–820 (1996)."
Millosevichite,Al₂ S₃ O₁₂,"Dahmen T., Gruehn R., Beitrage zum thermischen verhalten von sulfaten. IX. Einkristallstrukturverfeinerung der metall(III)-sulfate Cr2(SO4)3 und Al2(SO4)3, Zeitschrift fur Kristallographie, 204, 57–65 (1993)."
Arsenic,As,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York, Crystal Structures, 1, 7–83 (1963)."
Aplowite,Co S O₈ D₈,"Kellersohn T., Structure of cobalt sulfate tetrahydrate, Acta Crystallographica, Section C, 48, 776–779 (1992)."
Henmilite,Ca₂ Cu B₂ O₁₂ H₁₂,"Nakai I., Okada H., Masutomi K., Koyama E., Nagashima K., Henmilite, Ca2Cu(OH)4[B(OH)4]2, a new mineral from Fuka, Okayama Prefecture, Japan. II. Crystal structure, American Mineralogist, 71, 1236–1239 (1986)."
Bracewellite,Cr O₂ H,"Milton C., Appleman D. E., Appleman M. H., Chao E. C. T., Cuttita F., Dinnin J. I., Dwornik E. J., Ingram B. L., Rose H. J., Merumite, a complex assemblage of chromium minerals from Guyana, U.S. Geological Survey Professional Paper, 887, 1–29 (1976)."
Reinerite,Zn₃ As₂ O₆,"Ghose S., Boving P., LaChapelle W. A., Wan C., Reinerite, Zn3(AsO3)2: an arsenite with a novel type of Zn-tetrahedral double chain, American Mineralogist, 62, 1129–1134 (1977)."
Tunisite,Na Ca₂ Al₄ C₄ O₂₀ H₈ Cl,"Effenberger H., Kluger F., Pertlik F., Zemann J., Tunisit: kristallstruktur und revision der chemischen formel, Tschermaks Mineralogische und Petrographische Mitteilungen, 28, 65–77 (1981)."
Olshanskyite,Ca₂ B₃ O₁₃ H₁₃,"Callegari A., Mazzi F., Tadini C., The crystal structure of olshanskyite, The Canadian Mineralogist, 39, 137–144 (2001)."
Ghiaraite,Ca Cl₂ O₄,"Thewalt U., Bugg C. E., Crystal structure of calcium chloride tetrahydrate, Acta Crystallographica, Section B, 29, 615–617 (1973)."
Sanbornite,Ba Si₂ O₅,"Douglass R. M., The crystal structure of sanbornite, BaSi2O5, American Mineralogist, 43, 517–536 (1958)."
Kalicinite,K C D O₃,"Kagi H., Nagai T., Loveday J. S., Wada C., Parise J. B., Pressure-induced phase transformation of kalicinite (KHCO3) at 2.8 GPa and local structural changes around hydrogen atoms Sample: at P = 0 GPa, American Mineralogist, 88, 1446–1451 (2003)."
Berndtite-2T,Sn S₂,"Hazen R. M., Finger L. W., The crystal structures and compressibilities of layer minerals at high pressure.  I. SnS2, berndtite P = 1 atm, American Mineralogist, 63, 289–292 (1978)."
Phenakite,Si Be₂ O₄,"Downs J. W., Gibbs G. V., An exploratory examination of the electron density and electrostatic potential of phenakite, American Mineralogist, 72, 769–777 (1987)."
Bukovskyite,Fe₂ As S O₁₈ H₁₉,"Majzlan J., Lazic B., Armbruster T., Johnson M. B., White M. A., Fisher R. A., Plasil J., Loun J., Skoda R., Novak M., Crystal structure, thermodynamic properties, and paragenesis of bukovskyite, Fe2(AsO4)(SO4)(OH)*9H2O, Journal of Mineralogical and Petrological Sciences, 107, 133–148 (2012)."
Goosecreekite,Ca Si₆ Al₂ O₁₆ H₅,"Rouse R. C., Peacor D. R., Crystal structure of the zeolite mineral goosecreekite, CaAl2Si6O16.5H2O, American Mineralogist, 71, 1494–1501 (1986)."
Kaliborite,K Mg₂ B₁₂ H₁₉ O₃₀,"Burns P. C., Hawthorne F. C., Kaliborite: An example of a crystallographically symmetrical hydrogen bond, The Canadian Mineralogist, 32, 885–894 (1994)."
Stephanite,Sb Ag₅ S₄,"Ribar B., Nowacki W., Die kristallstruktur von stephanit, [SbS3|S|Ag5], Acta Crystallographica, Section B, 26, 201–207 (1970)."
Antigorite-M,Mg₃₉ Si₂₈ O₁₂₀,"Dodony I., Posfai M., Buseck P. R., Revised structure models for antigorite: An HRTEM study Note: n = 14, American Mineralogist, 87, 1443–1457 (2002)."
Wadeite,K₂ Zr Si₃ O₉,"Xu H., Navrotsky A., Balmer M. L., Su Y., Crystal-chemical and energetic systematics of wadeite-type phases A2BSi3O9 (A = K, Cs; B = Si, Ti, Zr), Physics and Chemistry of Minerals, 32, 426–435 (2005)."
Pyrobelonite,Pb Mn V O₇ H,"Donaldson D. M., Barnes W. H., The structures of the minerals of the descloizite and adelite groups: II - pyrobelonite., American Mineralogist, 40, 580–596 (1955)."
Bastnasite-(Ce),Ce C O₃ F,"Donnay G., Donnay J. D. H., The crystallography of bastnaesite, parasite, roentgenite, and synchisite, American Mineralogist, 38, 932–963 (1953)."
Groutellite,Mn O₂,"Post J. E., Heaney P. J., Neutron and synchrotron X-ray diffraction study of the structures and dehydration behaviors of ramsdellite and ""groutellite"", American Mineralogist, 89, 969–975 (2004)."
Hydroxylchondrodite,Mg₅ Si₂ O₁₀ D₄,"Lager G. A., Ulmer P., Miletich R., Marshall W. G., O-D...O bond geometry in OD-chondrodite, American Mineralogist, 86, 176–180 (2001)."
Grokhovskyite,Cu Cr S₂,"Engelsman F. M. R., Wiegers G. A., Jellinek F., VanLaar B., Crystal structures and magnetic structures of some metal chromium(III) sulfides and selenides Sample: T = 4.2 K, Journal of Solid State Chemistry, 6, 574–582 (1973)."
Barysilite,Pb₈ Mn Si₆ O₂₁,"Lajzerowicz J., Etude par diffraction des rayons X et absorption infra-rouge de la barysilite, MnPb8.3Si2O7, et de composes isomorphes, Acta Crystallographica, 20, 357–363 (1965)."
Pseudowollastonite,Ca Si O₃,"Yang H., Prewitt C. T., On the crystal structure of pseudowollastonite (CaSiO3), American Mineralogist, 84, 929–932 (1999)."
Vaesite,Ni S₂,"Nowack E., Schwarzenbach D., Hahn T., Charge densities in CoS2 and NiS2 (pyrite structure) Note: multipole model, T = 135 K, Acta Crystallographica, Section B, 47, 650–659 (1991)."
Lindbergite,Mn C₂ O₆ H₄,"Soleimannejad J., Aghabozorg H., Hooshmand S., Ghadermaz M., Gharamaleki J. A., The monoclinic polymorph of catena-poly [[diaquamanganese(II)]-mu-oxalato-4O1,O2:O1',O2'], Acta Crystallographica, Section E, 63, m2389–m2390 (2007)."
Sibirskite,Ca H B O₃,"Sun W., Huang Y-X., Li Z., Pan Y., Mi J-X., Hydrothermal synthesis and single-crystal X-ray structure refinement of three borates: sibirskite, parasibirskite and priceite Note: T = 295 K, The Canadian Mineralogist, 49, 823–834 (2011)."
Hieratite,K₂ Si F₆,"Hester J. R., Maslen E. N., Spadaccini N., Ishizawa N., Satow Y., Accurate synchrotron radiation delta rho maps for K2SiF6 and K2PdCl6 Sample: .9 angstroms, Acta Crystallographica, Section B, 49, 967–973 (1993)."
Schmitterite,U Te O₅,"Meunier G., Galy J., Structure cristalline de la schmitterite synthetique UTeO5, Acta Crystallographica, Section B, 29, 1251–1255 (1973)."
Lithiomarsturite,Li Ca₂ Mn₂ Si₅ O₁₅ H,"Yang H., Downs R. T., Yang Y. W., Lithiomarsturite, LiCa2Mn2Si5O14(OH) Note: rruff.info/R100094, Acta Crystallographica, Section E, 67, i73–i73 (2011)."
Langite,Cu₄ S O₁₂ H₁₀,"Gentsch M., Weber K., Structure of langite, Cu4[(OH)6|SO4]*2H2O, Acta Crystallographica, Section C, 40, 1309–1311 (1984)."
Hedenbergite,Si₂ Fe Ca O₆,"Cameron M., Sueno S., Prewitt C. T., Papike J. J., High-temperature crystal chemistry of acmite, diopside, hedenbergite, jadeite, spodumene, and ureyite T = 24 C pyroxene, American Mineralogist, 58, 594–618 (1973)."
Trogtalite,Co Se₂,"Furuseth S., Kjekshus A., Andresen A. F., On the magnetic properties of CoSe2, NiS2, and NiSe2, Acta Chemica Scandinavica, 23, 2325–2334 (1969)."
IMA2010-039,Y₂ O₃,"Baldinozzi G., Berar J., Calvarin G., Rietveld refinement of two-phase Zr-doped Y2 O3 _cod_database_code 1009013, Materials Science Forum, 278, 680–685 (1998)."
Howlite,Ca₂ Si B₅ O₁₄ H₅,"Finney J. J., Kumbasar I., Konnert J. A., Clark J. R., Crystal structure of the calcium silicoborate, howlite, American Mineralogist, 55, 716–728 (1970)."
Insizwaite,Pt Bi₂,"Furuseth S., Selte K., Kjekshus A., Redetermined crystal structures of PdAs2, PdSb2, PtP2, PtAs2, PtSb2, alpha-PtBi2, and AuSb2, Acta Chemica Scandinavica, 19, 735–741 (1965)."
Bearthite,Ca₂ Al P₂ O₉ H,"Chopin C., Brunet F., Gebert W., Medenbach O., Tillmanns E., Bearthite, Ca2Al[PO4]2(OH), a new mineral from high-pressure terranes of the western Alps, Schweizerische Mineralogische und Petrographische Mitteilungen, 73, 1–9 (1993)."
Grossite,Ca Al₄ O₇,"Boyko E. R., Wisnyi L. G., The optical properties and structures of CaO*2Al2O3 and SrO*2Al2O3, Acta Crystallographica, 11, 444–445 (1958)."
Uricite,C₅ H₄ N₄ O₃,"Ringertz H., The molecular and crystal structure of uric acid, Acta Crystallographica, 20, 397–403 (1966)."
Alabandite,Mn S,"McCammon C. A., Static compression of alpha-MnS at 298 K to 21 GPa Sample: P = 0 GPa, Physics and Chemistry of Minerals, 17, 636–641 (1991)."
Queitite,Pb₄ Zn₂ S Si₃ O₁₅,"Hess H., Keller P., Die kristallstruktur von queitit, Pb4Zn2[SO4|SiO4|Si2O7], Zeitschrift fur Kristallographie, 151, 287–299 (1980)."
Natrosilite,Na₂ Si₂ O₅,"Pant A. K., A reconsideration of the crystal structure of beta-Na2Si2O5, Acta Crystallographica, Section B, 24, 1077–1083 (1968)."
Xenotime-(Dy),Dy P O₄,"Ni Y., Hughes J. M., Mariano A. N., Crystal chemistry of the monazite and xenotime structures, American Mineralogist, 80, 21–26 (1995)."
Kozyrevskite,Cu₄ As₂ O₉,"Adams R. D., Layland R., Payen C., Cu4(AsO4)2(O): A new copper arsenate with unusual low temperature magnetic properties, Inorganic Chemistry, 34, 5397–5398 (1995)."
Vonsenite,Fe₃ B O₅,"Swinnea J. S., Steinfink H., Crystal structure and Mossbauer spectrum of vonsenite, 2FeO*FeBO3, American Mineralogist, 68, 827–832 (1983)."
Litharge,Pb O,"Boher P., Garnier P., Gavarri J. R., Hewat A. W., Monoxyde quadratique PbO alpha(I): Description de la transition structurale ferroelastique Method: Neutron Diffraction T = 2 K, Journal of Solid State Chemistry, 57, 343–350 (1985)."
Leucophanite,Na Ca Be Si₂ O₆ F,"Grice J. D., Hawthorne F. C., Refinement of the crystal structure of leucophanite, The Canadian Mineralogist, 27, 193–197 (1989)."
Hexaferrum,Fe,"Dubrovinsky L. S., Lazor P., Saxena S. K., Haggkvist P., Weber H. P., Le Bihan. T., Hausermann D., Study of laser heated iron using third generation synchrotron X-ray radiation facility with imaging plate at high pressures Sample: epsilon iron phase: P = 61 GPa, T = 300 K, Physics and Chemistry of Minerals, 26, 539–545 (1999)."
Digenite,Cu₁₇ S₉,"Donnay G., Donnay J. D. H., Kullerud G., Crystal and twin structure of digenite, Cu9S5, American Mineralogist, 43, 228–242 (1958)."
Sarrabusite,Pb₅ Se₄ Cu Cl₄ O₁₂,"Gemmi M., Campostrini I., Demartin F., Gorelik T. E., Gamaccioli C. M., Structure of the new mineral sarrabusite, Pb5CuCl4(SeO3)4, solved by manual electron-diffraction tomography Note: Manual data, this is the prefered structure, Acta Crystallographica, Section B, 68, 15–23 (2012)."
Damiaoite,Pt In₂,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Fluorite structure, Crystal Structures, 1, 239–444 (1963)."
Nifontovite,Ca₃ B₆ O₂₀ H₁₆,"Simonov M. A., Egorov-Tismenko Y. K., Kazanskaya E. V., Belokoneva E. L., Belov N. V., Hydrogen bonds in the crystal structure of nifontovite Ca2/B5O3(OH)6/2*2H2O, Soviet Physics Doklady, 23, 159–161 (1978)."
Fenaksite,K Na Fe Si₄ O₁₀,"Rozhdestvenskaya I. V., Bannova I. I., Nikishova L. V., Soboleva T. V., The crystal structure of fenaksite K2Na2Fe2Si8O20, Doklady Earth Sciences, 398, 1029–1033 (2004)."
Monazite-(Sm),Sm P O₄,"Ni Y., Hughes J. M., Mariano A. N., Crystal chemistry of the monazite and xenotime structures, American Mineralogist, 80, 21–26 (1995)."
Cordylite-(Ce),Ba Ce₂ (Na Ca) F C₄ O₁₂,"Giester G., Ni Y., Jarosch D., Hughes J. M., Ronsbo J. G., Yang Z., Zemann J., Cordylite-(Ce): A crystal chemical investigation of material from four localities, including type material Sample: from Narssarssuk, Greenland, type sample, determined by the Vienna group refinement based on F2, American Mineralogist, 83, 178–184 (1998)."
Juangodoyite,Na₂ Cu C₂ O₆,"Maslen E. N., Spadaccini N., Watson K. J., Electron density in non-ideal metal complexes. II. Sodium bis(carbonato)cuprate(II), Acta Crystallographica, Section B, 42, 430–436 (1986)."
Rakovanite,V₁₀ Na₃ O₄₃ H₃₀,"Kampf A. R., Hughes J. M., Marty J., Gunter M. E., Nash B., Rakovanite, Na3{H3[V10O28]}*15H2O, a new member of the pascoite family with a protonated decavanadate polyanion, The Canadian Mineralogist, 49, 595–604 (2011)."
Metacinnabar,Hg S,"Lehmann W., Roentgenographische Untersuchungen an natuerlichem und synthetischem Metacinnabarit (Hg S). _cod_database_code 1011368, Zeitschrift fur Kristallographie, 60, 379–413 (1924)."
Palmierite,K₂ Pb S₂ O₈,"Tissot R. G., Rodriguez M. A., Sipola D. L., Voigt J. A., X-ray powder diffraction study of synthetic palmierite, K2Pb(SO4)2, Powder Diffraction, 16, 92–97 (2001)."
Chenite,Pb₄ Cu S₂ (O₁₄ H₆),"Hess H., Keller P., Riffel H., The crystal structure of chenite, Pb4Cu(OH)6(SO4)2, Neues Jahrbuch fur Mineralogie, Monatshefte, 1988, 259–264 (1988)."
Hausmannite,Mn₃ O₄,"Baron V., Gutzmer J., Rundlof H., Tellgren R., The influence of iron substitution on the magnetic properties of hausmannite, Mn(Fe,Mn)2O4 Sample at T = 295 K, natural, American Mineralogist, 83, 786–793 (1998)."
Rutherfordine,U C O₅,"Finch R. J., Cooper M. A., Hawthorne F. C., Ewing R. C., Refinement of the crystal structure of rutherfordine, The Canadian Mineralogist, 37, 929–938 (1999)."
Daubreelite,Fe Cr₂ S₄,"Raccah P. M., Bouchard R. J., Wold A., Crystallographic study of chromium spinels, Journal of Applied Physics, 37, 1436–1437 (1966)."
Briartite,Cu₂ Fe Ge S₄,"Wintenberger M., Etude de la structure cristallographique et magnetique de Cu2FeGeS4 et remarque sur la structure magnetique de Cu2MnSnS4, Materials Research Bulletin, 14, 1195–1202 (1979)."
Markhininite,Tl Bi S₂ O₈,"Siidra O. I., Vergasova L. P., Krivovichev S. V., Kretser Y. L., Zaitsev A. N., Filatov S. K., Unique thallium mineralization in the fumaroles of Tolbachik volcano, Kamchatka Peninsula, Russia. I. Markhininite, TlBi(SO4)2, Mineralogical Magazine, 78, 1687–1698 (2014)."
Khinite-4O,Pb Te Cu₃ (O₈ H₂),"Cooper M. A., Hawthorne F. C., Back M. E., The crystal structure of khinite and polytypism in khinite and parakhinite Note: This is the original khinite, now distinguished as the -4O polytype, Mineralogical Magazine, 72, 763–770 (2008)."
Wegscheiderite,Na₅ C₄ O₁₂ H₃,"Fernandes N. G., Tellgren R., Olovsson I., Structure and electron density of pentasodium trihydrogentetracarbonate Note: anisotropic displacement factors from ICSD, Acta Crystallographica, Section B, 46, 466–474 (1990)."
Garavellite,Fe Sb Bi S₄,"Bindi L., Menchetti S., Garavellite, FeSbBiS4, from the Caspari mine, North Rhine-Westphalia, Germany: composition, physical properties and determination of the crystal structure, Mineralogy and Petrology, 85, 131–139 (2005)."
Chkalovite,Be Si₂ Na₂ O₆,"Pyatenko Y. A., Bokii G. B., Belov N. V., The X-ray analysis of the crystal structure of chkalovite, Doklady Akademii Nauk SSSR, 108, 1077–1080 (1956)."
Titanite,Ca Ti Si O₅,"Speer J. A., Gibbs G. V., The crystal structure of synthetic titanite, CaTiOSiO4, and the domain textures of natural titanites, American Mineralogist, 61, 238–247 (1976)."
Akatoreite,Mn₉ Al₂ Si₈ O₃₂ H₈,"Burns P. C., Hawthorne F. C., Edge-sharing MnO4 tetrahedra in the structure of akatoreite, Mn9Al2Si8O24(OH)8, The Canadian Mineralogist, 31, 321–329 (1993)."
Djerfisherite,K₆ Cu Fe₂₄ S₂₆ Cl,"Zaccarini F., Thalhammer O. A. R., Princivalle F., Lenaz D., Stanley C. J., Garuti G., Djerfisherite in the Guli dunite complex, Polar Siberia: a primary or metasomatic phase? Note: Occupancy of Cl1 was changed from S1 to reproduce chemical formula, The Canadian Mineralogist, 45, 1201–1211 (2007)."
Tilleyite,Ca₅ Si₂ C₂ O₁₃,"Grice J. D., The structure of spurrite, tilleyite and scawtite, and relationships to other silicate-carbonate minerals, The Canadian Mineralogist, 43, 1489–1500 (2005)."
Larnite,Ca₂ Si O₄,"Tsurumi T., Hirano Y., Kato H., Kamiya T., Daimon M., Crystal structure and hydration of belite, Ceramic Transactions, 40, 19–25 (1994)."
Knasibfite,K₃ Na₄ Si₃ F₂₂ B,"Demartin F., Gramaccioli C. M., Campostrini I., Orlandi P., Knasibfite, K3Na4[SiF6]3[BF4], a new hexafluorosilicate-tetrafluoroborate from La Fossa Crater, Vulcano, Aeolian Islands, Italy, The Canadian Mineralogist, 46, 447–453 (2008)."
Atacamite,Cu₂ Cl (O₃ H₃),"Wells A. F., The crystal structure of atacamite and the crystal chemistry of cupric compounds, Acta Crystallographica, 2, 175–180 (1949)."
Manganese-alpha,Mn₂₉,"Gazzara C. P., Middleton R. M., Weiss R. J., Hall E. O., A refinement of the parameters of alpha manganese Localilty: synthetic Sample: at T = 298K, Acta Crystallographica, 22, 859–862 (1967)."
Sylvine,K Cl,"Ott H., Die Strukturen von Mn O, Mn S, Ag F, Ni S, Sn I4, Sr Cl2, Ba F2, Praezisionsmessungen einiger Alkalihalogenide. _cod_database_code 1011127, Zeitschrift fur Kristallographie, 63, 222–230 (1926)."
Indite,Fe In₂ S₄,"Hahn H., Klingler W., Untersuchungen uber ternaere chalkogenide. I. Uber die kristallstruktur einiger ternaerer sulfide, die sich vom In2S3 ableiten, Zeitschrift fur Anorganische und Allgemeine Chemie, 263, 177–190 (1950)."
Hydrophilite,Ca Cl₂,"van Bever. A., Nieuwenkamp W., Die Kristallstruktur von Calciumchlorid, Ca Cl2 _cod_database_code 1011280, Zeitschrift fur Kristallographie, 90, 374–376 (1935)."
Huanghoite-(Sm),Sm Ba F O₆ C₂,"Mercier N., Leblanc M., Crystal growth and structures of rare earth fluorocarbonates: I. Structures of BaSm(CO3)2F and Ba3La2(CO3)5F2: revision of the corresponding huanghoite and cebaite type structures _cod_database_code 1000470, European Journal of Solid State and Inorganic Chemistry, 30, 195–205 (1993)."
Argutite,Ge O₂,"Haines J., Leger J. M., Chateau C., Pereira A. S., Structural evolution of rutile-type and CaCl2-type germanium dioxide at high pressure Sample: rutile-type, P = 0 GPa, Physics and Chemistry of Minerals, 27, 575–582 (2000)."
Scacchite,Mn Cl₂,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Note: cadmium chloride structure, Crystal Structures, 1, 239–444 (1963)."
Cohenite,Fe₃ C,"Herbstein F. H., Smuts J., Comparison of X-ray and neutron-diffraction refinements of the structure of cementite Fe3C, Acta Crystallographica, 17, 1331–1332 (1964)."
Mroseite,Ca Te C O₅,"Fischer R., Pertlik F., Zemann J., The crystal structure of mroseite, CaTeO2(CO3), The Canadian Mineralogist, 13, 383–387 (1975)."
Macedonite,Pb Ti O₃,"Glazer A. M., Mabud S. A., Powder profile refinement of lead zirconate titanate at several temperatures. II. Pure PbTiO3 Sample: T = -183 C, Acta Crystallographica, Section B, 34, 1065–1070 (1978)."
Geocronite,Pb₁₅ Sb₄ As₂ S₂₄,"Birnie R. W., Burnham C. W., The crystal structure and extent of solid solution of geocronite, American Mineralogist, 61, 963–970 (1976)."
Ferrotapiolite,Fe Ta₂ O₆,"Eicher S. M., Greedan J. E., Lushington K. J., The magnetic properties of FeTa2O6. Magnetic structure and low-dimensional behavior, Journal of Solid State Chemistry, 62, 220–230 (1986)."
Schwertmannite,Fe O₂,"Fernandez-Martinez A., Timon V., Roman-Ross G., Cuello G. J., Daniels J. E., Ayora C., The structure of schwertmannite, a nanocrystalline iron oxyhydroxysulfate Note: Model 1, positions of sulfate groups not determined, American Mineralogist, 95, 1312–1322 (2010)."
Dyscrasite,Sb Ag₃,"Scott J. D., Refinement of the crystal structure of dyscrasite, and its implications for the structure of allargentum, The Canadian Mineralogist, 14, 139–142 (1976)."
Paratacamite,Cu₂ (O₃ Cl) H₃,"Fleet M. E., The crystal structure of paratacamite, Cu2(OH)3Cl Sample: Ordered structure, considered to be the true structure, Acta Crystallographica, Section B, 31, 183–187 (1975)."
Humberstonite,N₂ S₆ K₃ Mg Na₈ O₃₆,"Burns P. C., Hawthorne F. C., The crystal structure of humberstonite, a mixed sulfate-nitrate mineral, The Canadian Mineralogist, 32, 381–385 (1994)."
Sodium,Na,"Barrett C. S., X-ray study of the alkali metals at low temperatures Sample: at T = 5 K Note: lattice parameters are average of 4 values, Acta Crystallographica, 9, 671–677 (1956)."
Uakitite,V N,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York rocksalt structure, Crystal Structures, 1, 85–237 (1963)."
Tilasite,As Ca Mg O₄ F,"Bladh K. W., Corbett R. K., McLean W. J., Laughon R. B., The crystal structure of tilasite, American Mineralogist, 57, 1880–1884 (1972)."
Simpsonite,Ta₃ Al₄ O₁₄ H,"Ercit T. S., Cerny P., Hawthorne F. C., The crystal chemistry of simpsonite, The Canadian Mineralogist, 30, 663–671 (1992)."
Rokuhnite,Fe Cl₂ O₂ H₄,"Morosin B., Graeber E. J., Crystal structures of manganese(II) and iron(II) chloride dihydrate, Journal of Chemical Physics, 42, 898–901 (1965)."
Brackebuschite,Pb₂ V₂ Mn O₈,"Donaldson D. M., Barnes W. H., The structures of the minerals of the descloizite and adelite groups: III - brackebuschite, American Mineralogist, 40, 597–613 (1955)."
Anglesite,Pb S O₄,"Miyake M., Minato I., Morikawa H., Iwai S. I., Crystal structure and sulphate force constants of barite, celesite, and anglesite, American Mineralogist, 63, 506–510 (1978)."
Scotlandite,Pb S O₃,"Pertlik F., Zemann J., The crystal structure of scotlandite, PbSO3, Tschermaks Mineralogische und Petrographische Mitteilungen, 34, 289–295 (1985)."
Partheite,Ca₂ Al₄ Si₄ O₂₁ H₁₀,"Lazic B., Armbruster T., Liebich B. W., Perfler L., Hydrogen-bond system and dehydration behavior of the natural zeolite partheite Note: room temperature, American Mineralogist, 97, 1866–1873 (2012)."
Phurcalite,U₃ Ca₂ P₂ O₂₃,"Atencio D., Neumann R., Silva A. J. G. C., Mascarenhas Y. P., Phurcalite from Perus, San Paulo, Brazil, and redetermination of its crystal structure, The Canadian Mineralogist, 29, 95–105 (1991)."
Danburite,Ca B₂ Si₂ O₈,"Phillips M. W., Gibbs G. V., Ribbe P. H., The crystal structure of danburite: A comparison with anorthite, albite, and reedmergnerite, American Mineralogist, 59, 79–85 (1974)."
